Source	First English Translation	Final Refined Translation
Was kann ich machen, damit die richtigen Namen und Daten im neuen FamilySearch angezeigt werden?	What can I do to ensure that the correct names and data are displayed in the new FamilySearch?	What can I do to ensure that the correct names and details are displayed in the new FamilySearch?
Ich will gehn, ich will tun, was Gott mir sagt und dann	I want to go, I want to do what God tells me and then	I want to go; I want to do what God is telling me to do next.
Die Fhrer der Kirche sind ehrlich davon berzeugt, dass Sie das Reich Gottes aufbauen knnen wie keine Generation vor Ihnen, sagte er. Wir wissen, dass die Kirche und das Reich Gottes nur weiter aufgerichtet werden und wachsen knnen, wenn Ihre Generation erfolgreich ist.	The leaders of the Church are sincerely convinced that you can build the Kingdom of God like no generation before you, he said. We know that the church and the Kingdom of God can only continue to be established and grow if your generation is successful.	The leaders of the Church are truly convinced that your generation has the unique capacity to build the Kingdom of God like no other generation before you, he stated. We recognize that the Church and the Kingdom of God can only continue to be established and flourish if your generation succeeds.
Nur Unterkategorien Ihrer Einheit mit einem grnen Punkt knnen umbenannt werden.	Only subcategories of your unit marked with a green dot can be renamed.	Only subcategories of your unit that display a green dot can be renamed.
Informieren Sie FamilySearch, um sich als Administrator zu registrieren.	Inform FamilySearch to register as an administrator.	Contact FamilySearch to register as an administrator.
Zustzlich zu Ihrer Aufgabe, Nichtmitgliedern das Evangelium zu verknden, werden Sie in der Belgisch-Niederlndischen Mission Brssel ttig sein.	In addition to your task of proclaiming the gospel to non-members, you will be active in the Belgian-Dutch Mission in Brussels.	In addition to your responsibility for proclaiming the Gospel to non-members, you will be serving in the Belgian-Dutch Mission in Brussels.
Nach einer Ansprache, die am 25. Juni 2010 bei einem Seminar fr neue Missionsprsidenten gehalten wurde.	After a speech that was held on June 25, 2010, at a seminar for new mission presidents.	Following a speech that was given on June 25, 2010, at a seminar for new mission presidents.
Das Spiel wird im Kreis gespielt.	The game is played in a circle.	The game is played in a circle.
Das Programm zeichnet jeden Fall eines Kunden auf.	The program records every case of a customer.	The program records every occurrence of a customer.
Richtlinien fr die FHV-Versammlung fr Wohnen, Familie und eigene Entfaltung und diesbezgliche Aktivitten	Guidelines for the FHV meeting for living, family, and personal development and related activities	Guidelines for the FHV assembly regarding housing, family, personal development, and related activities
Getauft, aber nicht konfirmiert	Baptized, but not confirmed	Baptized, but not confirmed
Die Prsidentschaften der Jungen Mnner und der Jungen Damen	The presidencies of the young men and the young women	The presidencies of the young men and young ladies
Wir sind nicht hier, um irgendjemanden dazu zu zwingen, den Willen des Vaters im Himmel zu tun. Natrlich hngt das Ma an Freiheit und Verantwortung, das wir unseren Kindern gewhren, von ihrem Alter und ihren Fhigkeiten ab. Wenn wir unseren Kindern helfen, ihre Entscheidungsfreiheit richtig auszuben, wird es leichter sein, sie zu lehren und sie liebzuhaben, ganz unabhngig von ihrem Verhalten.	We are not here to force anyone to do the will of the Father in Heaven. Naturally, the degree of freedom and responsibility we grant our children depends on their age and abilities. When we help our children exercise their freedom of choice properly, it will be easier to teach them and love them, regardless of their behavior.	We are not here to force anyone to do the will of the Father in Heaven. Naturally, the degree of freedom and responsibility we grant our children depends on their age and abilities. By helping our children appropriately exercise their choices, it will become easier to teach and love them, regardless of their behavior.
Das Buch Mormon ist ein weiterer Zeuge fr Jesus Christus und besttigt die Wahrheiten, die in der Bibel stehen.	The Book of Mormon is another witness of Jesus Christ and confirms the truths that are in the Bible.	The Book of Mormon is an additional testament of Jesus Christ and confirms the truths presented in the Bible.
Als die Heiligen der Letzten Tage aus ihren Husern in Nauvoo im Bundesstaat Illinois vertrieben wurden, fanden viele Freude inmitten des Leids.	When the Latter-day Saints were driven from their houses in Nauvoo in the state of Illinois, many found joy amidst the suffering.	When the Latter-day Saints were driven from their homes in Nauvoo, Illinois, many discovered joy even in the midst of suffering.
Wenn man mit der Lge lebt, kann man nie vllig frei sein. Nur jemand, der stndig eine solche Last mit sich herumtrgt oder -getragen hat, kann das nachempfinden. Wir drfen nie vergessen: Etwas Falsches wird nicht dadurch richtig, dass viele es tun. Eine falsche Tat wird auch dadurch nicht richtig, weil sie fr niemanden sichtbar wird.	If one lives with a lie, one can never be completely free. Only someone who constantly carries such a burden or has carried it can understand that. We must never forget: Something wrong does not become right just because many people do it. A wrong act does not become right simply because it is not visible to anyone.	Living with a lie means that one can never be fully free. Only those who constantly carry such a burden or have carried it can truly empathize with this. We must never forget: Something wrong does not become right simply because many people do it. An unjust act also does not become right merely because it is invisible to anyone.
Im Mrz 1944, der Krieg war inzwischen auf seinem Hhepunkt, wurde das Schiff vor Saipan im Sdpazifik angegriffen. Arthur war einer derjenigen an Bord, die auf See verschollen blieben. Der blaue Stern wurde von seinem Ehrenplatz am vorderen Fenster des Hauses der Familie Patton entfernt. An seine Stelle kam ein goldener Stern, der anzeigte, dass derjenige, fr den der blaue Stern gestanden hatte, im Kampf gefallen war. Ein Licht erlosch im Leben von Mrs. Patton.	In March 1944, the war was by now at its peak, the ship was attacked off Saipan in the South Pacific. Arthur was one of those on board who went missing at sea. The blue star was removed from its place of honor at the front window of the Patton family home. In its place, a gold star was put up, indicating that the person for whom the blue star had stood had fallen in battle. A light went out in the life of Mrs. Patton.	In March 1944, at the height of the war, the ship was attacked near Saipan in the South Pacific. Arthur was one of those on board who were lost at sea. The blue star was removed from its place of honor at the front window of the Patton family home. In its place, a gold star was displayed, indicating that the person denoted by the blue star had fallen in battle. A light was extinguished in Mrs. Patton's life.
Und ich erblickte auch einen engen und schmalen Pfad, der an der eisernen Stange entlangfhrte, ja, zu dem Baum, bei dem ich stand;	And I also caught sight of a narrow and slim path that led along the iron rod, indeed, to the tree by which I stood;	And I also noticed a narrow and slender path that ran alongside the iron pole, leading to the tree where I was standing;
Freiwillige helfen auf eigene Gefahr. Jugendliche unter 18 drfen nur teilnehmen, wenn sie von einem Elternteil begleitet werden, oder eine Erlaubnis seitens der Erziehungsberechtigten vorliegt.	Volunteers help at their own risk. Young people under 18 may only participate if they are accompanied by a parent or if there is permission from the legal guardians.	Volunteers participate at their own risk. Youth under the age of 18 may only participate if accompanied by a parent or if they have obtained consent from their legal guardians.
Die scheinbar bersprungenen Leerfelder sind die Felder, die in dem von Ancestry.com generierten Index nicht bercksichtigt wurden. Die Stze mit solchen bersprungenen Feldern enthalten den letzten Index, der ber Ancestry.com erstellt wurde. Darin kommen die neuen Felder, die jetzt indexiert werden mssen, noch nicht vor. Das Projekt ist dadurch wesentlich aufwndiger geworden, sodass mehr Indexierungsarbeit als bei den vorigen US-Volkszhlungsprojekten, an denen sich FamilySearch beteiligt hat, erforderlich ist.	The seemingly skipped empty fields are the fields that were not considered in the index generated by Ancestry.com. The sentences with such skipped fields contain the last index created through Ancestry.com. The new fields that need to be indexed are not yet included. As a result, the project has become significantly more demanding, requiring more indexing work than previous US census projects in which FamilySearch participated.	The seemingly overlooked empty fields are those that were not included in the index generated by Ancestry.com. Sentences containing such overlooked fields feature the latest index created by Ancestry.com; however, the new fields that now need to be indexed are not yet represented. Consequently, the project has become significantly more complex, requiring more indexing effort than the earlier US census projects that FamilySearch participated in.
East North Temple Street	East North Temple Street	East North Temple Street
Amerikanische Gebrdensprache ASL mit Untertiteln: am dritten Samstag im Monat um 12:00 Uhr	American Sign Language ASL with subtitles: on the third Saturday of the month at 12:00 PM	American Sign Language (ASL) with subtitles: on the third Saturday of each month at 12:00 PM
