Source	First English Translation	Final Refined Translation
"Was kann ich machen, damit die richtigen Namen und Daten im neuen FamilySearch angezeigt werden?
"	What can I do to ensure that the correct names and data are displayed in the new FamilySearch?	What steps can I take to ensure that the correct names and information are displayed in the new FamilySearch?
"Ich will gehn, ich will tun, was Gott mir sagt und dann
"	I want to go, I want to do what God tells me and then	I want to go, I want to do what God tells me, and then...
"Die Fhrer der Kirche sind ehrlich davon berzeugt, dass Sie das Reich Gottes aufbauen knnen wie keine Generation vor Ihnen, sagte er. Wir wissen, dass die Kirche und das Reich Gottes nur weiter aufgerichtet werden und wachsen knnen, wenn Ihre Generation erfolgreich ist.
"	The leaders of the church are honestly convinced that you can build the Kingdom of God like no generation before you, he said. We know that the church and the Kingdom of God can only be further established and grow if your generation is successful.	The leaders of the church are genuinely convinced that your generation has the potential to establish the Kingdom of God in a way that surpasses any previous generation, he stated. We understand that the church and the Kingdom of God can only continue to grow and thrive if your generation achieves success.
"Nur Unterkategorien Ihrer Einheit mit einem grnen Punkt knnen umbenannt werden.
"	Only subcategories of your unit with a green dot can be renamed.	Only the subcategories within your unit that are indicated by a green dot can be renamed.
"Informieren Sie FamilySearch, um sich als Administrator zu registrieren.
"	Notify FamilySearch to register as an administrator.	Please inform FamilySearch to register as an administrator.
"Zustzlich zu Ihrer Aufgabe, Nichtmitgliedern das Evangelium zu verknden, werden Sie in der Belgisch-Niederlndischen Mission Brssel ttig sein.
"	In addition to your task of proclaiming the gospel to non-members, you will be active in the Belgian-Dutch Mission Brussels.	In addition to your role of proclaiming the gospel to non-members, you will engage in activities within the Belgian-Dutch Mission in Brussels.
"Nach einer Ansprache, die am 25. Juni 2010 bei einem Seminar fr neue Missionsprsidenten gehalten wurde.
"	After a speech given on June 25, 2010, at a seminar for new mission presidents.	Following a speech given on June 25, 2010, at a seminar for new mission presidents.
"Das Spiel wird im Kreis gespielt.
"	The game is played in a circle.	The game is played in a circle.
"Das Programm zeichnet jeden Fall eines Kunden auf.
"	The program records every case of a customer.	The program logs every instance of a customer.
"Richtlinien fr die FHV-Versammlung fr Wohnen, Familie und eigene Entfaltung und diesbezgliche Aktivitten
"	Guidelines for the FHV meeting for housing, family, and personal development and related activities	Guidelines for the FHV Assembly on Housing, Family, Personal Development, and Related Activities
"Getauft, aber nicht konfirmiert
"	Baptized, but not confirmed	Baptized, but not confirmed
"Die Prsidentschaften der Jungen Mnner und der Jungen Damen
"	The presidencies of the young men and the young women	The leadership roles of young men and young women
"Wir sind nicht hier, um irgendjemanden dazu zu zwingen, den Willen des Vaters im Himmel zu tun. Natrlich hngt das Ma an Freiheit und Verantwortung, das wir unseren Kindern gewhren, von ihrem Alter und ihren Fhigkeiten ab. Wenn wir unseren Kindern helfen, ihre Entscheidungsfreiheit richtig auszuben, wird es leichter sein, sie zu lehren und sie liebzuhaben, ganz unabhngig von ihrem Verhalten.
"	We are not here to force anyone to do the will of the Father in Heaven. Naturally, the extent of freedom and responsibility we grant our children depends on their age and abilities. If we help our children exercise their freedom of choice correctly, it will be easier to teach them and to love them, regardless of their behavior.	We are not here to compel anyone to fulfill the will of the Father in Heaven. Of course, the degree of freedom and responsibility we grant our children depends on their age and abilities. When we assist our children in properly exercising their ability to make decisions, it will become easier to educate and love them, irrespective of their behavior.
"Das Buch Mormon ist ein weiterer Zeuge fr Jesus Christus und besttigt die Wahrheiten, die in der Bibel stehen.
"	The Book of Mormon is another witness for Jesus Christ and confirms the truths that are found in the Bible.	The Book of Mormon serves as another testament of Jesus Christ and affirms the truths presented in the Bible.
"Als die Heiligen der Letzten Tage aus ihren Husern in Nauvoo im Bundesstaat Illinois vertrieben wurden, fanden viele Freude inmitten des Leids.
"	When the Latter Day Saints were driven from their homes in Nauvoo in the state of Illinois, many found joy in the midst of suffering.	When the Latter-day Saints were expelled from their homes in Nauvoo, Illinois, many discovered joy amidst their suffering.
