Source	First English Translation	Final Refined Translation
"Durante o tempo que passam no Chile, percebem a necessidade de uma tradução para o espanhol do Livro de Mórmon.
"	During the time they spend in Chile, they realize the need for a translation of the Book of Mormon into Spanish.	During their time in Chile, they recognize the necessity of a Spanish translation of the Book of Mormon.
"Posteriormente, o mesmo sonho se repetiu.
"	Later, the same dream repeated itself.	Subsequently, the same dream recurred.
"Há um tipo de alegria e satisfação que somente é compreendida por meio de sentimentos espirituais.
"	There is a type of joy and satisfaction that can only be understood through spiritual feelings.	There is a type of joy and satisfaction that can only be understood through spiritual feelings.
"5. Exatidão dos Dados Informados.
"	5. Accuracy of the Reported Data.	5. Accuracy of the Reported Data.
"As ordenanças continuarão na sua lista até que alguém as aceite.
"	The orders will remain on your list until someone accepts them.	The orders will stay on your list until someone accepts them.
"Além de suas próprias provações pessoais, muitos enfrentaram e continuam a enfrentar preconceitos e mal-entendidos culturais mesmo em sua ala ou seu ramo.
"	In addition to their own personal trials, many have faced and continue to face prejudices and cultural misunderstandings even in their ward or branch.	In addition to their own personal trials, many have faced and continue to encounter prejudice and cultural misunderstandings, even within their own congregations or branches.
"Ocorreu um erro ao salvar seu retrato.
"	An error occurred while saving your portrait.	An error occurred while saving your portrait.
"Clique na caixa de seleção à esquerda de cada pessoa cujas ordenanças você deseja cancelar a reserva.
"	Click on the checkbox to the left of each person whose bookings you want to cancel.	Click the checkbox located to the left of each individual whose bookings you wish to cancel.
"A indexação de registros é o acelerador que dá ao site FamilySearch.org o poder de conectar você aos seus antepassados.
"	The indexing of records is the accelerator that gives the website FamilySearch.org the power to connect you to your ancestors.	The indexing of records serves as the catalyst that empowers the FamilySearch.org website to connect you with your ancestors.
"Tabela para listar até quatro gerações de antepassados.
"	Table to list up to four generations of ancestors.	Table designed to list up to four generations of ancestors.
"E essa é a razão, porque o Espírito foi persistente.
"	And this is the reason why the Spirit was persistent.	And that is the reason why the Spirit was persistent.
"Apesar de as ordenanças vicárias realizadas fora de sequência serem válidas, elas tornam-se eficazes somente depois que forem realizadas as ordenanças exigidas previamente.
"	Although the vicarious ordinances carried out out of sequence are valid, they only become effective after the previously required ordinances have been performed.	Although the vicarious ordinances performed out of sequence are valid, they only take effect after the previously required ordinances have been completed.
"No mundo todo, como irmãos e irmãs no evangelho, podemos aprender uns com os outros, tornar-nos mais unidos e aumentar nosso amor mútuo.
"	Around the world, as brothers and sisters in the gospel, we can learn from one another, become more united, and increase our mutual love.	Throughout the world, as brothers and sisters in the gospel, we can learn from each other, grow closer together, and enhance our mutual love.
"O chamado, Jorge Orlando Cocco Santangelo Prêmio de Compra
"	The call, Jorge Orlando Cocco Santangelo Purchase Award	The announcement of the Jorge Orlando Cocco Santangelo Purchase Prize
